Member/Customer Number,IEEE Status,Renew Year
94506186,Active,2023
98903748,Applicant,
93796900,Active,2023
93797937,Inactive,2019
94216990,Inactive,2021
94413795,Arrears,2022
94415677,Arrears,2022
94538540,Active,2023
94796016,Arrears,2022
94828203,Arrears,2022
94829635,Active,2023
94839628,Active,2023
94910663,Inactive,2018
94996531,Inactive,2018
94998864,Inactive,2018
95009325,Active,2023
95009412,Active,2023
95187038,Arrears,2022
95187229,Active,2023
95190336,Inactive,2019
95463992,Applicant,
95539359,Inactive,2021
95539535,Inactive,2019
95540150,Active,2023
95548639,Inactive,2019
95548645,Inactive,2019
95548675,Inactive,2019
95555712,Inactive,2019
95555778,Inactive,2019
95556176,Inactive,2019
95556185,Inactive,2019
95556232,Inactive,2019
95556241,Arrears,2022
95556243,Inactive,2019
95556248,Arrears,2022
95556383,Inactive,2019
95556386,Arrears,2022
95556388,Inactive,2019
95556430,Inactive,2019
95556440,Active,2023
95556443,Inactive,2020
95556445,Inactive,2019
95556450,Inactive,2019
95556487,Inactive,2019
95556608,Inactive,2019
95556629,Inactive,2019
95556631,Inactive,2019
95556635,Inactive,2019
95556641,Inactive,2019
95556689,Inactive,2019
95556690,Active,2023
95556731,Inactive,2019
95556788,Inactive,2021
95605061,Arrears,2022
95659240,Inactive,2019
95659254,Inactive,2019
95695589,Inactive,2019
95728575,Inactive,2021
95728588,Inactive,2019
95734326,Inactive,2019
95748670,Applicant,
95757927,Inactive,2019
95780289,Applicant,
96020913,Inactive,2019
96021002,Inactive,2019
96021042,Inactive,2019
96021052,Inactive,2019
96021074,Inactive,2019
96021079,Inactive,2019
96021215,Inactive,2021
96021217,Inactive,2019
96021354,Inactive,2019
96021414,Inactive,2019
96021420,Inactive,2019
96053425,Inactive,2019
96053429,Inactive,2019
96053441,Applicant,
96053494,Inactive,2019
96053496,Inactive,2019
96053528,Inactive,2019
96053574,Inactive,2019
96053578,Inactive,2019
96053580,Inactive,2019
96053597,Inactive,2019
96069048,Arrears,2022
96069083,Inactive,2019
96069229,Inactive,2019
96069254,Inactive,2019
96069276,Inactive,2019
96107689,Inactive,2019
96250984,Arrears,2022
96257657,Inactive,2020
96348041,Applicant,
96435546,Applicant,
96456066,Inactive,2020
96456072,Arrears,2022
96456103,Inactive,2020
96456138,Inactive,2021
96470394,Applicant,
96512414,Inactive,2021
96589530,Arrears,2022
96589860,Active,2023
96589996,Arrears,2022
96590011,Active,2023
96590055,Inactive,2020
96590094,Arrears,2022
96595612,Inactive,2021
96595750,Inactive,2021
96596085,Active,2023
96596089,Inactive,2020
96596458,Active,2023
96596736,Inactive,2020
96598481,Active,2023
96641467,Arrears,2022
96642169,Inactive,2021
96642223,Inactive,2020
96642232,Inactive,2020
96642260,Inactive,2021
96642272,Inactive,2020
96642474,Arrears,2022
96648909,Inactive,2020
96648962,Active,2023
96648982,Inactive,2020
96649026,Inactive,2020
96649029,Inactive,2020
96649044,Inactive,2020
96649056,Inactive,2020
96649089,Inactive,2020
96649574,Inactive,2020
96651189,Active,2023
96651244,Active,2023
96651256,Inactive,2021
96651262,Inactive,2020
96653133,Inactive,2020
96653165,Active,2023
96653167,Inactive,2020
96653172,Arrears,2022
96653198,Inactive,2020
96653230,Active,2023
96653247,Inactive,2021
96653248,Inactive,2020
96653262,Inactive,2020
96653265,Inactive,2020
96653268,Active,2023
96653364,Arrears,2022
96653367,Inactive,2020
96653376,Active,2023
96654443,Inactive,2020
